temperature,frequency_penalty,presence_penalty,aut_item,prompt_condition,trial_no,examples,output_responses,n_examples,creativity_quartile,ideas,response,response_id
0.65,1,1,bottle,zero_limit,146,[],"1. Bottle watering can for plants.
2. Use as a unique vase.
3. Bottle candle holder or lamp.
4. Create personalized message in bottle.
5. Make DIY bird feeder out of bottle.",0,N/A,create personalized message in bottle,create personalized message in bottle,ai_seed20
0.7000000000000001,1,1,bottle,zero_limit,302,[],"1. Bottle bookends for shelves.
2. Glass bottle chandelier light fixture.
3. Decorative bottle vases for flowers.
4. Bottle bird feeder in garden.
5. DIY bottle rocket launcher toy.",0,N/A,glass bottle chandelier light fixture,glass bottle chandelier light fixture,ai_seed21
0.7000000000000001,1,1,bottle,zero_limit,91,[],"1. Bottle Planter - Grow herbs inside.
2. Bottle Lamp - Unique lighting solution.
3. Bottle Bird Feeder - Attract feathered friends.
4. Bottle Vase - Display flowers stylishly.
5. Bottle Candle Holder - Romantic ambiance enhancer.",0,N/A,bottle lamp - unique lighting solution,bottle lamp - unique lighting solution,ai_seed22
0.75,1,1,bottle,zero_limit,1147,[],"1. DIY bottle bird feeder
2. Bottle herb garden planter
3. Bottle candle holder centerpiece
4. Bottle wind chime decoration 
5. Bottle vase for flowers",0,N/A,diy bottle bird feeder,diy bottle bird feeder,ai_seed23
0.75,1,1,bottle,zero_limit,1071,[],"1. Bottle vase for flowers
2. Bottle lamp base 
3. Musical instrument shaker 
4. Bottle garden watering tool 
5. Portable bird feeder/dispenser",0,N/A,bottle garden watering tool,bottle garden watering tool,ai_seed24
0.75,1,1,bottle,zero_limit,1266,[],"1. Bottle vase for flowers.
2. Bottle lamp with string lights.
3. Bottle birdhouse for garden.
4. Bottle chandelier with candles.
5. Bottle herb planter on windowsill.",0,N/A,bottle lamp with string lights,bottle lamp with string lights,ai_seed25
0.75,1,1,bottle,zero_limit,1017,[],"1. Bottle garden planter.
2. Bottle bird feeder.
3. Bottle musical instrument.
4. Bottle candle holder.
5. Bottle light fixture.",0,N/A,bottle light fixture,bottle light fixture,ai_seed26
0.7000000000000001,1,1,bottle,zero_limit,1118,[],"1. Bottle vase for flowers.
2. DIY bird feeder.
3. Candle holder with charm.
4. Musical instrument using air.
5. Tiki torch for outdoors.",0,N/A,diy bird feeder,diy bird feeder,ai_seed27
0.65,1,1,bottle,zero_limit,261,[],"1. Bottle birdhouse feeder
2. DIY bottle lampshade 
3. Bottle herb garden planter
4. Message in a bottle 
5. Bottle vase centerpiece",0,N/A,diy bottle lampshade,diy bottle lampshade,ai_seed28
0.65,1,1,bottle,zero_limit,368,[],"1. Bottle vase for flowers
2. Bottle bird feeder
3. Bottle lampshade or chandelier
4. Bottle herb garden planter
5. Bottle musical instrument",0,N/A,bottle herb garden planter,bottle herb garden planter,ai_seed29
0.65,1,1,bottle,zero_limit,1033,[],"1. Bottle Planter - Grow plants inside
2. DIY Lamp - Create unique lighting
3. Bottle Chandelier - Make a statement piece
4. Bird Feeder - Attract feathered friends 
5. Bottle Artwork- Use as canvas",0,N/A,bottle artwork- use as canvas,bottle artwork- use as canvas,ai_seed30
0.65,1,1,bottle,zero_limit,767,[],"1. Bottle birdhouse for garden decor.
2. DIY bottle vase with flowers.
3. Glass bottle lampshade project.
4. Make a bottle wind chime.
5. Bottle herb planter for kitchen.",0,N/A,glass bottle lampshade project,glass bottle lampshade project,ai_seed31
0.65,1,1,bottle,zero_limit,791,[],"1. DIY bird feeder
2. Flower vase centerpiece
3. Message in a bottle
4. Bottle cap magnets 
5. Tiki torch for backyard",0,N/A,message in a bottle,message in a bottle,ai_seed32
0.8,1,1,bottle,zero_limit,1283,[],"1. Self-watering plant pot.
2. Bottle bird feeder.
3. DIY lampshade.
4. Message in a bottle.
5. Wine bottle wind chime.",0,N/A,diy lampshade,diy lampshade,ai_seed33
0.65,1,1,bottle,zero_limit,191,[],"1. Bottle vase for flowers.
2. Bottle bird feeder.
3. Bottle chandelier decoration.
4. Bottle herb garden planter.
5. Bottle candle holder centerpiece.",0,N/A,bottle candle holder centerpiece,bottle candle holder centerpiece,ai_seed34
0.65,1,1,bottle,zero_limit,511,[],"1. Bottle planters for herbs.
2. Bottle chandelier for ambiance.
3. Bottle bird feeder for outdoors.
4. Bottle candle holders for decor.
5. Bottle wind chimes for sound.",0,N/A,bottle chandelier for ambiance,bottle chandelier for ambiance,ai_seed35
0.8,1,1,bottle,zero_limit,1386,[],"1. Bottle self-watering planter.
2. Bottle bird feeder.
3. Bottle glasses holder.
4. Bottle wind chime.
5. Bottle candle holder.",0,N/A,bottle candle holder,bottle candle holder,ai_seed36
0.65,1,1,bottle,zero_limit,513,[],"1. Bottle planters for herbs.
2. Bottle bird feeder station.
3. Bottle vase for flowers.
4. Bottle candle holder centerpiece.
5. Bottles as bowling pins.",0,N/A,bottle vase for flowers,bottle vase for flowers,ai_seed37
0.75,1,1,bottle,zero_limit,60,[],"1. Bottle planters for herbs.
2. DIY bird feeders.
3. Tiki torches with oil.
4. Watering globes for plants.
5. Romantic bottle candle holders.",0,N/A,romantic bottle candle holders,romantic bottle candle holders,ai_seed38
0.7000000000000001,1,1,bottle,zero_limit,832,[],"1. Bottle vase for flowers.
2. Bottle bird feeder.
3. Bottle candle holder.
4. Bottle lampshade.
5. Bottle herb garden planter.",0,N/A,bottle lampshade,bottle lampshade,ai_seed39
0.8,1,1,bottle,zero_limit,960,[],"1. Bottle planter for herbs.
2. Bottle chandelier with LED lights.
3. Bottle vase for flowers arrangement.
4. Bottle bird feeder with perches.
5. Bottle candle holder centerpiece.",0,N/A,bottle vase for flowers arrangement,bottle vase for flowers arrangement,ai_seed40
0.75,1,1,bottle,zero_limit,1371,[],"1. Bottle vase for flowers.
2. Bottle bird feeder kit.
3. Bottle lamp base DIY.
4. Bottle herb garden planter.
5. Bottle wind chime craft.",0,N/A,bottle herb garden planter,bottle herb garden planter,ai_seed41
0.8,1,1,bottle,zero_limit,75,[],"1. Bottle planter for herbs.
2. DIY bottle bird feeder.
3. Bottle candle holder centerpiece.
4. Decorative message in a bottle.
5. Upcycled bottle chandelier light fixture.",0,N/A,bottle planter for herbs,bottle planter for herbs,ai_seed42
0.65,1,1,bottle,zero_limit,1457,[],"1. Bottle vase for flowers.
2. Bottle bird feeder.
3. Bottle candle holder.
4. Bottle lampshade project.
5. Bottle herb garden planter.",0,N/A,bottle herb garden planter,bottle herb garden planter,ai_seed43
0.8,1,1,bottle,zero_limit,677,[],"1. Bottle vase for flowers.
2. Snack container for hiking.
3. DIY bird feeder 
4. Decorative candle holder
5. Watering device for plants",0,N/A,diy bird feeder,diy bird feeder,ai_seed44
0.65,1,1,bottle,zero_limit,1187,[],"1. Bottle Candle Holder
2. DIY Terrarium Container
3. Wine Bottle Bird Feeder
4. Glass Bottle Drinking Glasses 
5. Decorative Flower Vase",0,N/A,glass bottle drinking glasses,glass bottle drinking glasses,ai_seed45
0.75,1,1,bottle,zero_limit,1050,[],"1. Bottle vase for flowers.
2. DIY self-watering plant pot.
3. Bottle lamp with LED lights.
4. Bird feeder or water dispenser.
5. Musical instrument (bottle xylophone).",0,N/A,bird feeder or water dispenser,bird feeder or water dispenser,ai_seed46
0.65,1,1,bottle,zero_limit,969,[],"1. Bottle bird feeder.
2. Bottle vase for flowers.
3. Bottle plant waterer.
4. Bottle lamp shade.
5. Bottle candle holder.",0,N/A,bottle lamp shade,bottle lamp shade,ai_seed47
0.75,1,1,bottle,zero_limit,564,[],"1. Bottle vase for flowers.
2. Bottle torch for camping.
3. Bottle birdhouse in garden.
4. Bottle chandelier for ambiance.
5. Bottle planter for herbs.",0,N/A,bottle birdhouse in garden,bottle birdhouse in garden,ai_seed48
0.7000000000000001,1,1,bottle,zero_limit,1210,[],"1. Glass bottle candle holder
2. DIY bottle bird feeder 
3. Bottle vase for flowers 
4. Bottle herb garden planter 
5. Bottle light fixture",0,N/A,bottle herb garden planter,bottle herb garden planter,ai_seed49
0.65,1,1,bottle,zero_limit,798,[],"1. Bottle planter for herbs.
2. Bottle birdhouse with perch.
3. Bottle vase for flowers.
4. Bottle lampshade with LED lights.
5. Bottle candle holder centerpiece.",0,N/A,bottle birdhouse with perch,bottle birdhouse with perch,ai_seed50
0.75,1,1,bottle,zero_limit,981,[],"1. Bottle planter for herbs.
2. Bottle chandelier for ambiance.
3. Bottle bird feeder for wildlife.
4. Bottle vase for flowers.
5. Bottle lamp for lighting.",0,N/A,bottle planter for herbs,bottle planter for herbs,ai_seed51
0.8,1,1,bottle,zero_limit,380,[],"1. Bottle vase for flowers.
2. Bottle candle holder.
3. Bottle bird feeder.
4. Bottle hanging garden planter.
5. Bottle lamp base.",0,N/A,bottle vase for flowers,bottle vase for flowers,ai_seed52
0.8,1,1,bottle,zero_limit,814,[],"1. Bottle vase for flowers.
2. Bottle candle holder.
3. Bottle birdhouse feeder.
4. Bottle hanging garden planter.
5. Bottle lamp with fairy lights.",0,N/A,bottle hanging garden planter,bottle hanging garden planter,ai_seed53
0.65,1,1,bottle,zero_limit,15,[],"1. Bottle planters with succulents.
2. DIY bottle lamps for decor.
3. Bottle bird feeders for outdoors.
4. Wine bottle chandeliers as lighting.
5. Glass bottle wind chimes outside.",0,N/A,glass bottle wind chimes outside,glass bottle wind chimes outside,ai_seed54
0.75,1,1,bottle,zero_limit,1407,[],"1. Bottle vase for flowers.
2. Bottle bird feeder station.
3. DIY bottle lamps or lanterns.
4. Bottle herb garden planter.
5. Recycle as a water sprinkler.",0,N/A,diy bottle lamps or lanterns,diy bottle lamps or lanterns,ai_seed55
0.65,1,1,bottle,zero_limit,1056,[],"1. Bottle vase for flowers.
2. Bottle bird feeder.
3. Bottle candle holder.
4. Bottle lamp base.
5. Bottle herb planter.",0,N/A,bottle candle holder,bottle candle holder,ai_seed56
0.8,1,1,bottle,zero_limit,1354,[],"1. Bottle planter for herbs.
2. Bottle lamp with fairy lights.
3. Bottle bird feeder or waterer.
4. Bottle vase for flowers arrangement.
5. Bottle candle holder with wax.",0,N/A,bottle bird feeder or waterer,bottle bird feeder or waterer,ai_seed57
0.8,1,1,bottle,zero_limit,224,[],"1. Bottle as a planter
2. Bottle bird feeder
3. Bottle candle holder 
4. Bottle wind chime 
5. Bottle lamp base",0,N/A,bottle candle holder,bottle candle holder,ai_seed58
0.8,1,1,bottle,zero_limit,515,[],"1. Bottle birdhouse planter
2. Glass bottle chandelier fixture
3. Wine bottle candle holder
4. Hanging garden watering system 
5. Upcycled glass bottle vase",0,N/A,upcycled glass bottle vase,upcycled glass bottle vase,ai_seed59
0.75,1,1,bottle,zero_limit,1214,[],"1. Miniature garden terrarium.
2. Musical instrument shaker.
3. DIY bird feeder house.
4. Oil lamp candle holder.
5. Portable herb planter pot.",0,N/A,oil lamp candle holder,oil lamp candle holder,ai_seed60
0.65,1,1,bottle,zero_limit,166,[],"1. Bottle as a vase.
2. Bottle as a candle holder.
3. Bottle as a planter.
4. Bottle as a bird feeder.
5. Bottle cut into drinking glasses.",0,N/A,bottle as a bird feeder,bottle as a bird feeder,ai_seed61
0.8,1,1,bottle,zero_limit,268,[],"1. Bottle Planter: Miniature garden centerpiece.
2. Bottle Lamp: DIY ambient lighting fixture.
3. Bottle Chandelier: Recycled glass art installation.
4. Bottle Birdfeeder: Upcycled backyard wildlife oasis.
5. Bottle Bowling Set: Indoor game night entertainment.",0,N/A,bottle planter: miniature garden centerpiece,bottle planter: miniature garden centerpiece,ai_seed62
0.65,1,1,bottle,zero_limit,996,[],"1. Bottle planter for herbs
2. Bottle birdhouse decoration 
3. Bottle terrarium for succulents 
4. Bottle chandelier lighting fixture 
5. Bottles as bowling pins",0,N/A,bottle birdhouse decoration,bottle birdhouse decoration,ai_seed63
0.8,1,1,bottle,zero_limit,1452,[],"1. Bottle turned into a lamp.
2. Decorative bottle vase for flowers.
3. Bottle as a bird feeder.
4. Musical instrument made from bottles.
5. Storage container for small items.",0,N/A,musical instrument made from bottles,musical instrument made from bottles,ai_seed64
0.75,1,1,bottle,zero_limit,411,[],"1. Flower vase with flair
2. DIY bird feeder project
3. Bottle lamp with personality
4. Portable herb garden container
5. Decorative bottle wind chime",0,N/A,flower vase with flair,flower vase with flair,ai_seed65
0.75,1,1,bottle,zero_limit,498,[],"1. Bottle birdhouse for garden decor.
2. Turn bottle into a vase.
3. Create hanging planters from bottles.
4. Use as a lampshade base.
5. Bottle bowling game for kids.",0,N/A,bottle birdhouse for garden decor,bottle birdhouse for garden decor,ai_seed66
0.8,1,1,bottle,zero_limit,751,[],"1. Bottle vase for flowers.
2. Bottle bird feeder.
3. Bottle candle holder.
4. Bottle lampshade or chandelier.
5. Bottle herb planter.",0,N/A,bottle candle holder,bottle candle holder,ai_seed67
0.8,1,1,bottle,zero_limit,441,[],"1. Bottle plant watering system.
2. Bottle bird feeder.
3. Bottle guitar slide.
4. Bottle light fixture cover.
5. Bottle candle holder.",0,N/A,bottle light fixture cover,bottle light fixture cover,ai_seed68
0.7000000000000001,1,1,bottle,zero_limit,801,[],"1. Bottle planter for succulents.
2. DIY bottle chandelier lighting fixture.
3. Bottle bird feeder or house.
4. Turn bottles into wind chimes.
5. Use a bottle as a vase for flowers.",0,N/A,use a bottle as a vase for flowers,use a bottle as a vase for flowers,ai_seed69
0.65,1,1,bottle,zero_limit,1424,[],"1. Bottle Vase: Add flowers, decorate.
2. Bottle Lamp: Drill hole, insert bulb.
3. Bottle Bird Feeder: Hang outside, fill with seeds.
4. Bottle Candle Holder: Melt wax inside bottle.
5. Bottle Herb Garden: Cut top off, plant herbs.",0,N/A,"bottle lamp: drill hole, insert bulb","bottle lamp: drill hole, insert bulb",ai_seed70
0.8,1,1,bottle,zero_limit,913,[],"1. Bottle vase for flowers.
2. Self-watering plant container.
3. Personalized bottle piggy bank.
4. Outdoor torch with wick.
5. DIY hanging pendant light fixture.",0,N/A,outdoor torch with wick,outdoor torch with wick,ai_seed71
0.75,1,1,bottle,zero_limit,665,[],"1. Bottle as bird feeder.
2. Bottle as flower vase.
3. Bottle as candle holder.
4. Bottle as pen holder.
5. Bottle as DIY lampshade.",0,N/A,bottle as flower vase,bottle as flower vase,ai_seed72
0.65,1,1,bottle,zero_limit,1247,[],"1. Bottle planter for succulents.
2. Create a DIY bird feeder.
3. Cut into glass beads jewelry.
4. Make a unique lamp base.
5. Use as a decorative vase.",0,N/A,create a diy bird feeder,create a diy bird feeder,ai_seed73
0.75,1,1,bottle,zero_limit,291,[],"1. Bottle planters for herbs.
2. DIY bottle chandelier.
3. Glass bottle bird feeders.
4. Bottle wall art installation.
5. Upcycled bottle candle holders.",0,N/A,diy bottle chandelier,diy bottle chandelier,ai_seed74
0.7000000000000001,1,1,bottle,zero_limit,1135,[],"1. Bottle birdhouse
2. Bottle chandelier
3. Bottle garden irrigation system
4. Bottle candle holder
5. Bottle musical instrument",0,N/A,bottle musical instrument,bottle musical instrument,ai_seed75
0.7000000000000001,1,1,bottle,zero_limit,596,[],"1. Bottle as a watering can
2. Bottle as a candle holder
3. Bottle as a vase for flowers
4. Bottle as a bird feeder 
5. Bottle as a DIY lampshade",0,N/A,bottle as a watering can,bottle as a watering can,ai_seed76
0.75,1,1,bottle,zero_limit,979,[],"1. Bottle vase for flowers.
2. Bottle candle holder.
3. Bottle bird feeder.
4. Bottle wind chime.
5. Bottle herb planter.",0,N/A,bottle vase for flowers,bottle vase for flowers,ai_seed77
0.7000000000000001,1,1,bottle,zero_limit,1404,[],"1. Bottle as a plant holder.
2. Bottle transformed into lamps.
3. Bottles used as wind chimes.
4. Bottles repurposed as bird feeders.
5. Bottles converted into soap dispensers.",0,N/A,bottles repurposed as bird feeders,bottles repurposed as bird feeders,ai_seed78
0.75,1,1,bottle,zero_limit,1396,[],"1. Bottle lamp or chandelier
2. Miniature garden terrarium
3. Bottle wind chimes or mobiles
4. DIY message in a bottle craft
5. Wine bottle bird feeder",0,N/A,bottle wind chimes or mobiles,bottle wind chimes or mobiles,ai_seed79
0.75,1,1,bottle,zero_limit,1418,[],"1. Bottle planter for herbs
2. Bottle chandelier for ambiance
3. Bottle bird feeder for outdoors
4. Bottle candle holder for decor
5. Bottle vase for flowers",0,N/A,bottle vase for flowers,bottle vase for flowers,ai_seed80
0.7000000000000001,1,1,bottle,zero_limit,1210,[],"1. Glass bottle candle holder
2. DIY bottle bird feeder 
3. Bottle vase for flowers 
4. Bottle herb garden planter 
5. Bottle light fixture",0,N/A,bottle vase for flowers,bottle vase for flowers,ai_seed81
0.7000000000000001,1,1,bottle,zero_limit,1178,[],"1. Bottle vase for flowers.
2. Bottle bird feeder.
3. Bottle lampshade.
4. Bottle candle holder.
5. Bottle herb garden planter.",0,N/A,bottle herb garden planter,bottle herb garden planter,ai_seed82
0.7000000000000001,1,1,bottle,zero_limit,63,[],"1. Bottle vase for flowers.
2. Bottle bird feeder.
3. Bottle terrarium or mini garden.
4. Bottle lamp with LED lights.
5. Bottle plant waterer.",0,N/A,bottle bird feeder,bottle bird feeder,ai_seed83
0.65,1,1,bottle,zero_limit,1424,[],"1. Bottle Vase: Add flowers, decorate.
2. Bottle Lamp: Drill hole, insert bulb.
3. Bottle Bird Feeder: Hang outside, fill with seeds.
4. Bottle Candle Holder: Melt wax inside bottle.
5. Bottle Herb Garden: Cut top off, plant herbs.",0,N/A,bottle candle holder: melt wax inside bottle,bottle candle holder: melt wax inside bottle,ai_seed84
0.7000000000000001,1,1,bottle,zero_limit,1135,[],"1. Bottle birdhouse
2. Bottle chandelier
3. Bottle garden irrigation system
4. Bottle candle holder
5. Bottle musical instrument",0,N/A,bottle garden irrigation system,bottle garden irrigation system,ai_seed85
0.75,1,1,bottle,zero_limit,698,[],"1. Flower vase for small arrangements.
2. Turn it into a candle holder.
3. Create a DIY bird feeder.
4. Use as a water bottle.
5. Make decorative string lights.",0,N/A,make decorative string lights,make decorative string lights,ai_seed86
0.75,1,1,bottle,zero_limit,906,[],"1. Flower vase centerpiece.
2. DIY bird feeder craft.
3. Water bottle planter project.
4. Wine bottle candle holder.
5. Message in a bottle surprise.",0,N/A,wine bottle candle holder,wine bottle candle holder,ai_seed87
0.65,1,1,bottle,zero_limit,146,[],"1. Bottle watering can for plants.
2. Use as a unique vase.
3. Bottle candle holder or lamp.
4. Create personalized message in bottle.
5. Make DIY bird feeder out of bottle.",0,N/A,use as a unique vase,use as a unique vase,ai_seed88
0.8,1,1,bottle,zero_limit,1196,[],"1. Bottle planters for herbs.
2. DIY soap dispenser pump.
3. Hanging bottle vases for flowers.
4. Bottle birdhouse or feeder.
5. Colorful bottle wind chimes.",0,N/A,hanging bottle vases for flowers,hanging bottle vases for flowers,ai_seed89
0.8,1,1,bottle,zero_limit,101,[],"1. Bottle planter for herbs.
2. Glass bottle chandelier fixture.
3. Watering tool for plants.
4. Decorative message in a bottle.
5. DIY bird feeder or house.",0,N/A,watering tool for plants,watering tool for plants,ai_seed90
0.75,1,1,bottle,zero_limit,293,[],"1. Glass bottle birdhouse.
2. Bottle vase for flowers.
3. DIY bottle lamp shade.
4. Bottle garden watering system.
5. Wine bottle cheese board.",0,N/A,bottle garden watering system,bottle garden watering system,ai_seed91
0.65,1,1,bottle,zero_limit,511,[],"1. Bottle planters for herbs.
2. Bottle chandelier for ambiance.
3. Bottle bird feeder for outdoors.
4. Bottle candle holders for decor.
5. Bottle wind chimes for sound.",0,N/A,bottle wind chimes for sound,bottle wind chimes for sound,ai_seed92
0.75,1,1,bottle,zero_limit,665,[],"1. Bottle as bird feeder.
2. Bottle as flower vase.
3. Bottle as candle holder.
4. Bottle as pen holder.
5. Bottle as DIY lampshade.",0,N/A,bottle as candle holder,bottle as candle holder,ai_seed93
0.65,1,1,bottle,zero_limit,545,[],"1. Bottle plant holder
2. Bottle vase centerpiece
3. Bottle wind chime décor
4. Bottle bird feeder dispenser
5. Bottle candle holder lantern",0,N/A,bottle wind chime décor,bottle wind chime décor,ai_seed94
0.7000000000000001,1,1,bottle,zero_limit,624,[],"1. Bottle planter for herbs.
2. DIY bottle wind chime.
3. Bottle vase for flowers.
4. Bottle candle holder centerpiece.
5. Bottle jewelry organizer display.",0,N/A,bottle candle holder centerpiece,bottle candle holder centerpiece,ai_seed95
0.7000000000000001,1,1,bottle,zero_limit,48,[],"1. Bottle planter for herbs.
2. Bottle birdhouse with perches.
3. Bottle candle holder centerpiece.
4. Bottle chandelier made of glass.
5. Bottle vase filled with flowers.",0,N/A,bottle chandelier made of glass,bottle chandelier made of glass,ai_seed96
0.65,1,1,bottle,zero_limit,1033,[],"1. Bottle Planter - Grow plants inside
2. DIY Lamp - Create unique lighting
3. Bottle Chandelier - Make a statement piece
4. Bird Feeder - Attract feathered friends 
5. Bottle Artwork- Use as canvas",0,N/A,diy lamp - create unique lighting,diy lamp - create unique lighting,ai_seed97
0.75,1,1,bottle,zero_limit,1017,[],"1. Bottle garden planter.
2. Bottle bird feeder.
3. Bottle musical instrument.
4. Bottle candle holder.
5. Bottle light fixture.",0,N/A,bottle bird feeder,bottle bird feeder,ai_seed98
0.75,1,1,bottle,zero_limit,1071,[],"1. Bottle vase for flowers
2. Bottle lamp base 
3. Musical instrument shaker 
4. Bottle garden watering tool 
5. Portable bird feeder/dispenser",0,N/A,musical instrument shaker,musical instrument shaker,ai_seed99
0.65,1,1,bottle,zero_limit,511,[],"1. Bottle planters for herbs.
2. Bottle chandelier for ambiance.
3. Bottle bird feeder for outdoors.
4. Bottle candle holders for decor.
5. Bottle wind chimes for sound.",0,N/A,bottle planters for herbs,bottle planters for herbs,ai_seed100
0.65,1,1,bottle,zero_limit,545,[],"1. Bottle plant holder
2. Bottle vase centerpiece
3. Bottle wind chime décor
4. Bottle bird feeder dispenser
5. Bottle candle holder lantern",0,N/A,bottle bird feeder dispenser,bottle bird feeder dispenser,ai_seed101
0.65,1,1,bottle,zero_limit,15,[],"1. Bottle planters with succulents.
2. DIY bottle lamps for decor.
3. Bottle bird feeders for outdoors.
4. Wine bottle chandeliers as lighting.
5. Glass bottle wind chimes outside.",0,N/A,bottle planters with succulents,bottle planters with succulents,ai_seed102
0.7000000000000001,1,1,bottle,zero_limit,162,[],"1. Bottle vase for flowers.
2. Bottle bird feeder.
3. Bottle candle holder.
4. Bottle lampshade cover.
5. Bottle herb planter.",0,N/A,bottle vase for flowers,bottle vase for flowers,ai_seed103
